Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
10-Jun-13,394.9,397.45,391.05,394.725,788.6757945,294631,8769,232368338,68905,23.39,12.8,-0.35
11-Jun-13,392.3,395.5,388.25,393.1,785.1543936,325292,10172,255404443,72215,22.2,14.5,1.6
12-Jun-13,393,398.525,391.5,395.65,790.2150813,476471,10398,376514570,237293,49.8,14.05,5.3
13-Jun-13,391,396.25,390.5,394.575,786.4240034,275578,7956,216721154,64794,23.51,11.5,7.15
14-Jun-13,397.5,408.5,397.5,407,807.9521311,448558,14113,362413392,153250,34.17,22,19
17-Jun-13,408.2,413.825,405.625,412.55,821.1117278,416709,15448,342164647,120222,28.85,16.4,8.7
18-Jun-13,412.3,418.45,408.85,411.8,828.4233679,492522,21638,408016734,105286,21.38,19.2,-1
19-Jun-13,410.625,416.4,407.75,415.55,825.5954182,447163,17204,369175724,103235,23.09,17.3,9.85
20-Jun-13,410.5,410.5,397.4,399.6,804.9833526,590242,22300,475134984,175873,29.8,26.2,-21.8
21-Jun-13,400.5,405.25,392.5,396.95,798.9265613,612361,19925,489231468,180636,29.5,25.5,-7.1
24-Jun-13,395.35,398.5,389.6,396.65,790.4076012,697991,20439,551697392,304227,43.59,17.8,2.6
25-Jun-13,399.5,409.875,397.5,401.9,809.0002343,593374,26621,480039705,162147,27.33,24.75,4.8
26-Jun-13,404.75,407.275,400.425,401.275,807.9067977,233578,11247,188709254,39511,16.92,13.7,-6.95
27-Jun-13,407.5,417.775,407.175,415.225,827.3255333,627174,48998,518877064,189048,30.14,21.2,15.45
28-Jun-13,431.5,436.5,422.875,430.925,858.3174869,1015453,34062,871581067,323042,31.81,27.25,-1.15
1-Jul-13,431,442.475,429.925,441.4,877.3644905,558802,23392,490273032,149538,26.76,25.1,20.8
2-Jul-13,441.5,445.45,434.3,435.65,879.0678349,444388,19477,390647197,97471,21.93,22.3,-11.7
3-Jul-13,430.9,431.975,424.25,425.15,853.1803117,359411,15061,306642389,102124,28.41,15.45,-11.5
4-Jul-13,427,435,424,430.825,861.8754539,486575,17960,419367049,130703,26.86,22,7.65
5-Jul-13,432.675,442.2,432.675,440.1,878.9318633,581038,23038,510692812,234614,40.38,19.05,14.85
8-Jul-13,435.6,436.9,400,434.15,866.6413664,268745,13483,232905534,44749,16.65,73.8,-2.9
9-Jul-13,434.9,440.75,433.75,436.675,872.5105338,462984,12418,403958417,164246,35.48,14,3.55
10-Jul-13,437.4,439.85,419.7,428.175,857.6244629,595824,23856,510993238,89578,15.03,40.3,-18.45
11-Jul-13,431.55,436.75,429.5,435.2,867.4579973,311611,15297,270309454,58576,18.8,14.5,7.3
12-Jul-13,436.75,447.5,435,444.8,882.1295435,452404,21560,399078934,142206,31.43,25,16.1
15-Jul-13,442.85,449.55,442.65,447.875,893.5766371,408014,16422,364591778,112586,27.59,13.8,10.05
16-Jul-13,444,452.15,441.4,450.45,896.3722612,486019,19862,435653950,114076,23.47,21.5,12.9
17-Jul-13,451.5,459.35,451.5,457.575,912.4750193,755344,38920,689232531,334221,44.25,15.7,12.15
18-Jul-13,459.9,459.95,454.525,458.525,915.2462552,595565,23872,545088636,280741,47.14,10.85,-2.75
19-Jul-13,458.525,463.95,456.4,461.575,922.6235992,824552,37276,760751134,382151,46.35,15.1,6.1
22-Jul-13,457.5,457.625,449.45,454.25,907.6008084,407218,20379,369591386,105447,25.89,16.35,-6.5
23-Jul-13,456,462.35,453.575,454.55,917.2694548,319471,13767,293040990,101851,31.88,17.55,-2.9
24-Jul-13,453.175,458.5,447.825,454.3,908.1022101,324469,16372,294651016,74920,23.09,21.35,2.25
25-Jul-13,453,456.05,442.5,445.425,900.478688,269426,12157,242612371,66776,24.78,27.1,-15.15
26-Jul-13,446,451.75,442.9,444.95,895.7493538,236772,10518,212088366,51250,21.65,17.7,-2.1
29-Jul-13,444.05,449.5,441.375,442.8,889.0943316,248570,11074,221002178,61711,24.83,16.25,-2.5
30-Jul-13,443.175,446,427.45,429.425,873.7959973,324084,13898,283183302,83505,25.77,37.1,-27.5
31-Jul-13,428.675,438.9,421.5,435.8,858.4720463,388231,17189,333285461,65894,16.97,34.8,14.25
1-Aug-13,437.675,441,423,425.15,858.4717689,338049,14107,290205523,60501,17.9,36,-25.05
2-Aug-13,429,435.95,425,428.725,861.8888767,291775,16678,251477627,83020,28.45,21.9,-0.55
5-Aug-13,429.5,435.95,427.975,430.45,864.5009265,212093,9862,183354595,35101,16.55,15.95,1.9
6-Aug-13,428.075,431.8,415.075,420.2,846.9531,285821,12898,242076982,60989,21.34,33.45,-15.75
7-Aug-13,422.525,440.35,415.775,435.5,857.4642862,417290,21304,357811272,80400,19.27,49.15,25.95
8-Aug-13,434.5,436.425,428.875,432.725,865.0873151,206104,9815,178297956,29527,14.33,15.1,-3.55
12-Aug-13,432.625,435.5,420.25,422.65,853.7395552,249573,10935,213070342,73120,29.3,30.5,-19.95
13-Aug-13,422.575,429.975,417.5,426.175,851.5809486,273062,12707,232534397,54424,19.93,24.95,7.2
14-Aug-13,429.75,433.825,423.75,432.575,858.03914,367757,15389,315549900,93690,25.48,20.15,5.65
16-Aug-13,433,433,409.025,412.575,836.6382544,609608,30070,510021373,203482,33.38,47.95,-40.85
19-Aug-13,410.5,417.025,403.575,409.625,818.8928894,482576,21161,395178055,110391,22.88,26.9,-1.75
20-Aug-13,405.25,414.35,403.125,411.325,817.8643473,395510,16850,323473528,68203,17.24,22.45,12.15
21-Aug-13,415.65,416.85,389.975,391.925,804.694563,528122,23905,424976902,136591,25.86,53.75,-47.45
22-Aug-13,392.5,404.15,387.575,402.925,792.1560035,598493,28727,474099823,118937,19.87,33.15,20.85
23-Aug-13,406,411.85,404.4,409.525,816.1218429,489967,20990,399872771,129931,26.52,14.9,7.05
26-Aug-13,411,414.9,404.05,410.475,819.4874448,386454,19072,316694201,87444,22.63,21.7,-1.05
27-Aug-13,407.875,412.05,400,401.9,812.2827472,406126,16982,329889143,55714,13.72,24.1,-11.95
28-Aug-13,397.5,409,382.5,405.575,790.6292732,833398,38457,658908855,152438,18.29,53,16.15
29-Aug-13,408.375,426.4,406.55,422.675,833.2672309,537872,29292,448191112,163333,30.37,39.7,28.6
30-Aug-13,422,429.175,414.125,425.775,841.5423738,446703,20313,375919503,62366,13.96,30.1,7.55
2-Sep-13,426.15,443.2,426.15,441.875,873.9504366,493065,23034,430914372,117338,23.8,34.1,31.45
3-Sep-13,443.35,445.375,413.35,415.05,851.9923392,692875,26978,590324192,152237,21.97,64.05,-56.6
4-Sep-13,417.5,431.85,416.55,424.675,852.1300418,540749,26845,460788468,76055,14.06,30.6,14.35
5-Sep-13,430,434.45,425.75,430.65,860.894695,573420,15844,493654236,274678,47.9,17.4,1.3
6-Sep-13,434.5,436.475,421.425,433.775,859.8180176,506060,25766,435119506,83206,16.44,30.1,-1.45
10-Sep-13,436.8,446.05,433.1,444.325,879.8247641,630704,20742,554908998,224770,35.64,25.9,15.05
11-Sep-13,445.2,446.25,437.5,443.65,884.5980311,474181,22546,419459579,111503,23.51,17.5,-3.1
12-Sep-13,444.075,450,435,436.975,883.6522913,550245,21841,486225255,56543,10.28,30,-14.2
13-Sep-13,434.45,441.75,432.625,436.625,876.0380059,310478,14826,271990528,54502,17.55,18.25,4.35
16-Sep-13,443.75,443.75,426.925,430.825,866.3759436,492635,19948,426807113,174320,35.39,33.65,-25.85
17-Sep-13,429.25,432,426.5,429.05,858.5721779,164136,8492,140922603,24572,14.97,11,-0.4
18-Sep-13,430,436.65,428.5,435.225,867.0430048,392770,12870,340548481,167881,42.74,16.3,10.45
19-Sep-13,442.5,447.775,440,445.525,886.4979063,634296,22716,562302076,318077,50.15,15.55,6.05
20-Sep-13,443.125,450.45,435,441.3,886.2529321,412929,17110,365959537,86934,21.05,30.9,-3.65
23-Sep-13,435.5,440.45,432.25,437.3,870.4467628,430949,12403,375118162,198477,46.06,16.4,3.6
24-Sep-13,435.2,442,434.05,437.175,877.3682361,257878,11133,226253966,71437,27.7,15.9,3.95
25-Sep-13,436,437,421.3,424.35,852.4084925,567724,22923,483932759,169552,29.87,31.4,-23.3
26-Sep-13,424.35,424.725,417.8,419.275,841.3701786,419376,17113,352850460,141772,33.81,13.85,-10.15
27-Sep-13,421.5,426.95,419,420.1,846.1100917,339099,14153,286915086,42378,12.5,15.9,-2.8
30-Sep-13,415.75,422.25,409.525,411.175,831.2215019,374832,15893,311568418,104030,27.75,25.45,-9.15
1-Oct-13,413.4,415.175,409.25,411.15,824.531351,272814,11917,224943696,46022,16.87,11.85,-4.5
3-Oct-13,412.45,423.95,412.45,423.05,839.5204407,334945,13565,281193174,88907,26.54,23,21.2
4-Oct-13,421,429.625,419.1,426.7,850.1204463,338848,14909,288061613,56818,16.77,21.05,11.4
7-Oct-13,422.775,426.25,418.325,421.925,842.1351566,288606,12699,243045259,91482,31.7,15.85,-1.7
8-Oct-13,425,427,419.775,421.925,844.2015648,299596,11633,252919412,92103,30.74,14.45,-6.15
9-Oct-13,420.5,433.45,419,430.5,856.2679488,312332,16363,267439881,107458,34.41,28.9,20
10-Oct-13,428.75,431.25,424.125,429.9,856.5236504,349867,16019,299669360,70051,20.02,14.25,2.3
11-Oct-13,433.5,434,427.55,431.5,861.1267225,413565,19238,356131873,87318,21.11,12.9,-4
14-Oct-13,432,437.45,431.55,435.125,869.6306197,409919,23220,356478114,123397,30.1,11.8,6.25
15-Oct-13,448.125,449.5,431.85,433.35,875.7800397,730850,28366,640063842,169612,23.21,35.3,-29.55
17-Oct-13,434,443.85,432.625,439.65,880.2884724,482216,20237,424489186,130659,27.1,22.45,11.3
18-Oct-13,441,453.975,440.375,452.675,898.9323827,817942,29477,735274551,378232,46.24,27.2,23.35
21-Oct-13,452.5,457.5,448.375,456.675,906.9160678,472393,19161,428420802,208968,44.24,18.25,8.35
22-Oct-13,453.7,455.5,448.9,451.8,903.4392298,352813,13335,318745105,138307,39.2,13.2,-3.8
23-Oct-13,452,454.725,444.275,447.925,897.8364314,267160,12124,239865981,67046,25.1,20.9,-8.15
24-Oct-13,448,454.975,440.5,442.3,895.5230716,354743,18715,317680541,115663,32.6,28.95,-11.4
25-Oct-13,442.7,446.15,439.575,442.925,886.2463351,229472,10265,203368719,55038,23.98,13.15,0.45
28-Oct-13,443.325,452.3,443.325,445.1,897.9376031,385420,17440,346083111,158564,41.14,17.95,3.55
29-Oct-13,445.05,451.925,441.25,448.4,894.8553919,260186,12513,232828845,68136,26.19,21.35,6.7
30-Oct-13,448.5,451.25,447.5,448.8,898.0946036,233638,8365,209829027,117952,50.48,7.5,0.6
31-Oct-13,450.125,457.9,448.5,456.175,908.2894538,387523,15550,351983054,160715,41.47,18.8,12.1
1-Nov-13,454.5,462.5,451.55,453.925,911.6901174,390222,15057,355761541,151946,38.94,21.9,-1.15
3-Nov-13,455.45,457.3,453.275,454.25,911.0544725,121419,5580,110619323,38657,31.84,8.05,-2.4
5-Nov-13,452,460.85,452,454.525,912.2327112,314235,13268,286655446,87571,27.87,17.7,5.05
6-Nov-13,454.5,459.95,447.75,449.35,902.475336,282497,14014,254946575,79918,28.29,24.4,-10.3
7-Nov-13,448.825,452.475,441.25,442.975,896.0199212,306909,11378,274996578,102573,33.42,22.45,-11.7
8-Nov-13,440.5,442.975,436.1,437.75,877.7021419,307482,12161,269877610,95466,31.05,13.75,-5.5
11-Nov-13,437.5,441.25,430.425,431.85,870.8563302,332589,13417,289637236,79193,23.81,21.65,-11.3
12-Nov-13,432.275,435.725,425,426.125,860.4415876,287268,17354,247177334,113452,39.49,21.45,-12.3
13-Nov-13,425.5,430.7,422,422.675,852.5005024,272668,13185,232449607,60998,22.37,17.4,-5.65
14-Nov-13,425.975,432,425.2,425.875,856.2828326,228089,11382,195308695,50031,21.93,13.6,-0.2
18-Nov-13,428.175,438,428.175,437.175,869.2554326,437724,14605,380493965,197117,45.03,19.65,18
