Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open,
26-Aug-13,398,403.25,391.15,398.65,397.9031302,68845,2657,27393641,15612,22.68,12.1,0.65,
27-Aug-13,398,402.3,392.45,396.75,397.6268074,95578,2715,38004375,32125,33.61,9.85,-1.25,
28-Aug-13,396,400.6,384.15,398.5,393.7057812,132551,4153,52186095,32254,24.33,16.45,2.5,
29-Aug-13,401,402.25,393.5,397.25,398.4636854,50090,1677,19959046,9356,18.68,8.75,-3.75,
30-Aug-13,397,419.1,393.5,416.95,411.5062928,360412,11281,148311806,155958,43.27,25.6,19.95,
2-Sep-13,418,424,414.2,417.15,419.7114756,128159,4160,53789803,23122,18.04,9.8,-0.85,
3-Sep-13,418,422,403.55,405.75,412.8023887,135807,4478,56061454,43452,32,18.45,-12.25,
4-Sep-13,409,421,404.15,419.75,415.6749599,116038,4396,48234091,33639,28.99,16.85,10.75,
5-Sep-13,424.9,424.9,417.4,418.8,420.4120932,79499,2401,33422341,26958,33.91,7.5,-6.1,
6-Sep-13,420,440.2,419.5,437.6,432.9616376,438763,11550,189967547,213799,48.73,20.7,17.6,
10-Sep-13,440.8,446.5,437,440.3,441.1986446,239775,8284,105788405,141636,59.07,9.5,-0.5,
11-Sep-13,439,443,425,434.65,436.0217523,150283,4411,65526657,36860,24.53,18,-4.35,
12-Sep-13,438,444.5,434.2,437.5,439.9026471,130669,4196,57481639,22337,17.09,10.3,-0.5,
13-Sep-13,437.5,443.75,437.5,440.6,441.2659315,91862,2979,40535571,21194,23.07,6.25,3.1,
16-Sep-13,445,450,428.05,430.45,438.6459638,242591,5653,106411563,105253,43.39,21.95,-14.55,
17-Sep-13,431.8,435,424.8,431.75,429.9001498,177586,3724,76344248,73373,41.32,10.2,-0.05,
18-Sep-13,433,440.5,433,436.55,437.3301693,159397,3075,69709117,102073,64.04,7.5,3.55,
19-Sep-13,439,442.45,434.6,439.5,439.1998093,85997,3273,37769866,31326,36.43,7.85,0.5,
20-Sep-13,440,444.9,422,429.8,431.2615131,298681,5533,128809620,136475,45.69,22.9,-10.2,
23-Sep-13,428.7,434.9,425,426.25,429.8363973,80451,2420,34580768,16844,20.94,9.9,-2.45,
24-Sep-13,425.8,435,423.7,431.4,431.8395482,86755,2901,37464240,18238,21.02,11.3,5.6,
25-Sep-13,434,439.7,429.25,438.7,435.5759878,92120,2831,40125260,21596,23.44,10.45,4.7,
26-Sep-13,438.15,440.7,434,436.5,436.5977631,84582,2229,36928312,25462,30.1,6.7,-1.65,
27-Sep-13,438,440,431.4,433.15,434.4543919,170474,3329,74063178,70785,41.52,8.6,-4.85,
30-Sep-13,433,438.5,430.25,432,433.98799,56536,1730,24535945,11837,20.94,8.25,-1,
1-Oct-13,433,435.8,431.15,431.9,432.8765662,40305,1232,17447090,14050,34.86,4.65,-1.1,
3-Oct-13,434,440.9,434,436,437.2152391,60384,2090,26400805,16146,26.74,6.9,2,
4-Oct-13,435,444.4,435,438.1,440.7720239,119109,4355,52499915,33435,28.07,9.4,3.1,
7-Oct-13,438.1,442.5,437,439.8,440.3272983,82628,2987,36383364,27048,32.73,5.5,1.7,
8-Oct-13,440,442.3,434.15,435.05,437.5978261,50876,1771,22263227,17780,34.95,8.15,-4.95,
9-Oct-13,435,437.35,430.15,431.85,433.1374282,89967,2440,38968075,31335,34.83,7.2,-3.15,
10-Oct-13,434,438.75,431.25,433.1,434.6292519,92664,2693,40274485,35892,38.73,7.5,-0.9,
11-Oct-13,437,437,428,429.35,431.4280933,53180,2012,22943346,19425,36.53,9,-7.65,
14-Oct-13,430,432,420.05,421.85,424.4834235,117938,4961,50062726,69735,59.13,11.95,-8.15,
15-Oct-13,422,428.3,420.95,423.1,424.5456081,73397,2689,31160374,22036,30.02,7.35,1.1,
17-Oct-13,424.95,424.95,414.75,415.3,419.3394265,85615,2911,35901745,40330,47.11,10.2,-9.65,
18-Oct-13,416.15,419.4,414.05,415.35,416.0696001,91178,3413,37936394,34830,38.2,5.35,-0.8,
21-Oct-13,415.35,422.7,414.2,416,417.1956423,180370,4391,75249578,79405,44.02,8.5,0.65,
22-Oct-13,418,420.75,409.7,412.05,412.1522302,311837,5676,128524315,164871,52.87,11.05,-5.95,
23-Oct-13,415,424.9,412,423.35,419.2607255,253159,6672,106139626,94124,37.18,12.9,8.35,
